growth_stage,temperature,humidity,rainfall,forecast_rainfall,wind_speed,solar_radiation,pressure,cloud_cover,dew_point,soil_moisture,soil_temperature,soil_ph,nitrogen,phosphorus,potassium,organic_matter,ec,leaf_wetness,evapotranspiration,ndvi,crop_age_days,water_usage,pest_risk,disease_risk,crop_health_index,previous_yield,groundwater_level,reservoir_level,fertilizer_usage,labor_hours,water_quantity_required_liters,future_soil_moisture_3day,crop_water_stress_level,irrigation_required,yield_prediction,crop_type_Maize,crop_type_Rice,crop_type_Sugarcane,crop_type_Wheat,region_North,region_South,region_West,soil_type_Loamy,soil_type_Sandy,soil_type_Silty,irrigation_type_Flood,irrigation_type_Sprinkler
3,30.11,56.83,244.37,25.49,16.22,494.42,956.28,18.19,7.38,10.62,31.35,8.46,92,51,148,5.55,2.19,75.02,4.27,0.235,171,715.89,11,47,77.49,1.03,16.77,23.39,290.85,16.62,73.29,8.14,0,0,3.82,0,0,0,0,0,0,0,1,0,0,0,0
2,16.98,33.83,77.67,7.17,14.98,958.41,971.66,49.19,28.17,58.56,28.95,7.62,58,98,107,3.03,1.43,70.99,4.85,0.496,116,476.53,32,26,46.94,1.41,33.45,23.3,139.65,15.81,19.4,56.59,1,0,4.83,0,0,0,0,0,0,1,0,0,1,0,1
2,41.51,56.24,241.26,38.82,4.25,944.36,1022.92,2.19,16.81,32.61,28.2,5.78,15,76,101,1.54,1.25,41.54,3.6,0.448,88,158.69,31,75,65.53,4.62,24.75,81.55,221.48,19.07,41.65,29.49,2,0,3.8,0,0,1,0,1,0,0,0,0,0,0,1
3,37.59,34.14,124.0,73.21,3.65,712.11,976.4,35.25,23.1,61.05,34.1,7.13,100,16,106,5.47,2.06,91.82,5.21,0.729,65,114.39,44,51,99.34,5.98,30.36,71.38,205.37,3.84,34.29,61.27,1,0,6.23,0,0,0,0,0,0,0,0,0,0,0,0
2,26.36,72.79,79.94,21.39,3.91,995.69,970.73,5.53,22.34,43.85,26.12,6.43,19,64,70,1.79,0.8,7.82,3.43,0.251,105,99.0,100,74,60.17,4.18,19.04,60.92,159.94,19.99,23.95,41.61,1,0,2.87,1,0,0,0,0,0,0,0,1,0,0,0
3,34.21,26.03,50.39,75.45,25.24,102.38,994.22,14.56,29.05,19.39,19.04,6.27,58,92,135,7.05,0.88,50.43,4.91,0.651,78,838.48,74,99,77.83,3.98,33.48,20.4,204.83,5.19,71.77,20.29,0,0,5.68,0,0,0,0,0,0,1,1,0,0,1,0
0,18.36,91.5,272.69,66.95,0.6,108.33,1022.37,69.49,15.97,13.59,27.82,6.4,132,34,131,6.41,2.71,97.43,6.87,0.336,103,450.34,98,11,83.36,4.82,12.77,39.25,250.82,14.93,62.33,16.19,0,0,4.85,1,0,0,0,1,0,0,0,0,1,0,0
3,36.08,34.65,128.07,50.74,6.07,160.78,971.05,97.63,1.65,74.55,33.36,8.1,70,23,104,5.93,0.38,16.53,3.12,0.252,143,432.84,89,21,85.36,8.03,39.4,68.51,50.0,1.74,28.7,73.2,1,0,4.24,0,0,0,0,1,0,0,0,0,1,0,0
1,39.68,69.55,259.72,97.15,28.68,949.17,992.95,56.47,2.64,54.35,36.46,5.86,108,27,13,3.06,0.32,38.16,0.37,0.478,99,162.75,5,71,60.12,7.04,45.92,89.45,87.86,6.29,19.5,56.17,1,0,4.29,1,0,0,0,0,0,0,0,1,0,0,1
3,39.65,88.77,47.86,88.34,1.98,644.35,1001.88,16.95,10.73,50.36,24.8,7.14,104,83,126,5.68,1.38,39.58,6.86,0.794,11,377.37,48,58,54.9,3.42,21.05,57.8,289.84,11.87,43.05,51.48,1,0,6.53,0,0,0,0,0,1,0,0,0,0,1,0
0,23.53,38.59,230.1,56.32,1.09,934.95,967.22,37.65,10.81,50.96,20.72,8.39,118,112,26,5.27,1.31,32.52,0.59,0.47,141,918.31,92,23,67.95,2.71,26.75,35.41,207.09,7.35,8.5,51.94,1,0,5.17,0,0,0,0,0,0,0,0,0,1,0,0
3,22.91,90.07,33.0,55.78,11.62,214.39,997.68,23.44,6.52,32.03,35.48,5.83,89,83,15,2.71,1.3,11.86,7.22,0.195,30,848.6,97,22,42.95,5.84,28.41,70.49,253.34,1.08,45.46,33.06,2,0,3.3,0,0,0,1,0,0,0,0,1,0,1,0
3,30.64,49.15,5.27,27.78,4.54,128.78,1036.59,4.78,27.77,12.68,22.67,7.29,71,6,148,1.1,1.44,23.92,1.54,0.827,79,109.85,70,96,67.66,9.27,23.36,25.64,54.06,18.89,76.5,10.31,0,0,5.4,1,0,0,0,0,0,0,0,0,0,0,0
0,44.03,92.04,298.51,92.02,16.97,588.95,1024.61,91.31,14.19,70.86,38.94,5.06,43,34,90,6.4,1.03,40.21,8.53,0.27,44,999.81,59,27,42.1,3.19,3.1,82.65,264.16,19.38,37.36,71.62,2,0,4.36,1,0,0,0,0,0,0,0,0,1,1,0
2,42.62,92.85,22.06,89.59,10.16,257.7,1000.34,54.22,27.08,74.22,22.96,7.93,57,37,140,0.68,0.71,52.89,6.0,0.346,13,943.17,2,49,56.02,5.05,25.37,34.21,189.66,2.41,44.99,74.99,1,0,3.38,1,0,0,0,0,0,1,1,0,0,0,0
