Feature,Importance
soil_moisture,0.7622970834413565
evapotranspiration,0.0903385377837321
temperature,0.0789511176897609
rainfall,0.03283201815916913
crop_water_stress_level,0.026600303086996933
pest_risk,0.0005295652311940255
reservoir_level,0.00034830234425131575
groundwater_level,0.0003465880516617592
pressure,0.0003444060190164692
forecast_rainfall,0.0003385356472146375
ec,0.0003351005471028494
humidity,0.00033493738024079154
crop_health_index,0.000333151295273759
leaf_wetness,0.00033290656094051523
wind_speed,0.00033181771083537357
cloud_cover,0.00033044239656904444
dew_point,0.0003296323117227594
previous_yield,0.0003288509581847918
crop_age_days,0.00032635325237631547
ndvi,0.00032588379496079967
phosphorus,0.0003242779829844958
organic_matter,0.0003235198263073497
solar_radiation,0.0003233557522574075
fertilizer_usage,0.0003199357613501675
soil_ph,0.0003129547040141606
disease_risk,0.00031277506074280326
potassium,0.0003094245498134025
labor_hours,0.0003092317142442514
nitrogen,0.0003090595191559142
soil_temperature,0.0003062700668625156
growth_stage,0.00011480259007574283
irrigation_type_Sprinkler,5.093504877211341e-05
soil_type_Silty,4.396859671532775e-05
region_South,4.342642681779114e-05
irrigation_type_Flood,4.222512484427495e-05
region_North,4.218935986922453e-05
soil_type_Sandy,4.1928565619807016e-05
soil_type_Loamy,4.157815498515923e-05
region_West,4.06386740348117e-05
crop_type_Maize,3.9173998067965235e-05
crop_type_Wheat,3.884359300208597e-05
crop_type_Rice,3.712225958935607e-05
crop_type_Sugarcane,3.682900731302471e-05
